ID;Name;Position;Number;Club;CountryOfClub;DateOfBirth;Age;HeightCM;Country;Caps;Goals;PlaysInHomeCountry
227839;Marvin CHAVEZ;Midfielder;10;CD Chivas USA;USA;03/nov/83;30;156;Honduras;41;4;No
353235;Jordan AYEW;Forward;13;FC Sochaux-Montbliard;France;11/set/91;22;160;Ghana;12;2;No
298582;John BOYE;Defender;21;Stade Rennais FC;France;23/abr/87;27;160;Ghana;29;3;No
370469;Rashid SUMAILA;Defender;15;Mamelodi Sundowns FC;South Africa;18/dez/92;21;160;Ghana;8;0;No
379972;Acquah AFRIYIE;Midfielder;6;Parma FC;Italy;01/mai/92;22;162;Ghana;4;1;No
364707;Albert ADOMAH;Midfielder;14;Middlesbrough FC;England;13/dez/87;26;162;Ghana;14;1;No
359235;Lorenzo INSIGNE;Forward;22;SSC Napoli;Italy;04/jun/91;23;163;Italy;4;1;Yes
336791;Edgar SALLI;Midfielder;20;RC Lens;France;17/ago/92;21;163;Cameroon;8;0;No
358024;Ioannis FETFATZIDIS;Forward;18;Genoa CFC;Italy;21/dez/90;23;164;Greece;18;3;No
358114;Dries MERTENS;Midfielder;14;SSC Napoli;Italy;06/mai/87;27;164;Belgium;24;2;No
379264;Jose VAZQUEZ;Midfielder;23;Club Leon;Mexico;14/mar/88;26;164;Mexico;4;0;Yes
355997;Christian ATSU;Midfielder;7;Vitesse Arnheim;Netherlands;10/jan/92;22;165;Ghana;22;4;No
312014;Michael BABATUNDE;Forward;18;FC Volyn Lutsk;Ukraine;24/dez/92;21;165;Nigeria;4;0;No
356669;BERNARD;Forward;20;Shakhtar Donetsk;Ukraine;08/set/92;21;166;Brazil;10;1;No
198489;Arthur BOKA;Defender;3;VfB Stuttgart;Germany;02/abr/83;31;166;Ivory Coast;77;1;No
350124;Javier AQUINO;Midfielder;20;Villarreal CF;Spain;11/fev/90;24;166;Mexico;21;0;No
297106;Mathieu VALBUENA;Midfielder;8;Olympique Marseille;France;28/set/84;29;167;France;33;5;Yes
251352;Andres GUARDADO;Defender;18;Bayer 04 Leverkusen;Germany;28/set/86;27;167;Mexico;101;14;No
312234;Oliver BOZANIC;Midfielder;13;FC Luzern;Switzerland;08/jan/89;25;167;Australia;3;0;No
359217;Marco VERRATTI;Midfielder;23;Paris Saint-Germain FC;France;05/nov/92;21;168;Italy;5;1;No
354875;Abdelmoumene DJABOU;Forward;18;Club Africain;Tunisia;31/jan/87;27;168;Algeria;7;1;No
281252;Fabian ORELLANA;Forward;14;Celta Vigo;Spain;27/jan/86;28;168;Chile;25;2;No
294619;Kwadwo ASAMOAH;Midfielder;20;Juventus FC;Italy;09/dez/88;25;168;Ghana;61;4;No
